date,deaths,total
19-Aug,1,1
20-Aug,1,2
21-Aug,1,3
22-Aug,0,3
23-Aug,1,4
24-Aug,1,5
25-Aug,0,5
26-Aug,1,6
27-Aug,1,7
28-Aug,1,8
29-Aug,1,9
30-Aug,8,17
31-Aug,56,73
01-Sep,143,216
02-Sep,116,332
03-Sep,54,386
04-Sep,46,432
05-Sep,36,468
06-Sep,20,488
07-Sep,28,516
08-Sep,12,528
09-Sep,11,539
10-Sep,5,544
11-Sep,5,549
12-Sep,1,550
13-Sep,3,553
14-Sep,0,553
15-Sep,1,554
16-Sep,4,558
17-Sep,2,560
18-Sep,3,563
19-Sep,0,563
20-Sep,0,563
21-Sep,2,565
22-Sep,1,566
23-Sep,1,567
24-Sep,1,568
25-Sep,1,569
26-Sep,1,570
27-Sep,1,571
28-Sep,0,571
29-Sep,0,571